"bauxite {GLO}| bauxite mine operation | Cut-off, U"
"cashew {IN}| cashew production | Cut-off, U"
"cashew {RoW}| cashew production | Cut-off, U"
"Citric acid {CN}| production | Cut-off, U"
"Citric acid {RER}| production | Cut-off, U"
"Citric acid {RNA}| production | Cut-off, U"
"Citric acid {RoW}| production | Cut-off, U"
"energy feed, gross {CN}| citric acid production | Cut-off, U"
"energy feed, gross {RER}| citric acid production | Cut-off, U"
"energy feed, gross {RNA}| citric acid production | Cut-off, U"
"energy feed, gross {RoW}| citric acid production | Cut-off, U"
"Maize starch {CN}| citric acid production | Cut-off, U"
"Maize starch {RER}| citric acid production | Cut-off, U"
"Maize starch {RNA}| citric acid production | Cut-off, U"
"Maize starch {RoW}| citric acid production | Cut-off, U"
"protein feed, 100% crude {CN}| citric acid production | Cut-off, U"
"protein feed, 100% crude {RER}| citric acid production | Cut-off, U"
"protein feed, 100% crude {RNA}| citric acid production | Cut-off, U"
"protein feed, 100% crude {RoW}| citric acid production | Cut-off, U"
